,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,46,19,65,16,0,16,0,0,0,0,0,0,62,19,81
Algeria,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Angola,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Australia,0,0,0,55,2,57,0,0,0,2,0,2,57,2,59
Austria,0,0,0,33,13,46,0,0,0,0,0,0,33,13,46
AZERBAIJAN,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2
Bahrain,225,61,286,23,7,30,0,0,0,310,36,346,558,104,662
BARBADOS,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2
BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,6,1,7,0,0,0,0,0,0,6,1,7
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOSNIA AND HERZEGOVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,11,1,12,0,0,0,0,0,0,11,1,12
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,6,7,13,66,8,74,0,0,0,53,0,53,125,15,140
Cambodia,0,0,0,1,2,3,0,0,0,0,0,0,1,2,3
Canada,0,0,0,24,2,26,0,0,0,0,0,0,24,2,26
Cayman,0,0,0,14,3,17,0,0,0,0,0,0,14,3,17
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILE,0,0,0,2,1,3,0,0,0,0,0,0,2,1,3
China,0,0,0,2,0,2,0,0,0,4,0,4,6,0,6
COLOMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9
Cote DIvoire,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Croatia,203,1,204,395,68,463,0,0,0,30,0,30,628,69,697
Cyprus,22,231,253,0,0,0,0,0,0,14,63,77,36,294,330
Czech Republic,0,0,0,1,0,1,0,0,0,11,2,13,12,2,14
DENMARK,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Djibouti,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,5,1,6,0,0,0,2,0,2,7,1,8
Equatorial Guinea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
ETHIOPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,6,0,6,0,0,0,3,0,3,9,0,9
France,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Ghana,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Greece,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"Hong Kong SAR,China",15,0,15,0,0,0,0,0,0,0,0,0,15,0,15
Hungary,0,0,0,12,0,12,0,0,0,0,0,0,12,0,12
Ireland,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Israel,0,0,0,0,1,1,0,0,0,5,15,20,5,16,21
Italy,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,75,17,92,279,77,356,0,0,0,319,9,328,673,103,776
Kosovo,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3
Jordan,0,17,17,0,0,0,0,0,0,13,23,36,13,40,53
Kazakhastan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,2160,490,2650,64,75,139,0,0,0,882,218,1100,3106,783,3889
Lao PDR,0,0,0,4,0,4,0,0,0,1,0,1,5,0,5
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
LITHUANIA,0,0,0,4,0,4,0,0,0,1,0,1,5,0,5
LUXEMBOURG,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
"Macau SAR,China",0,0,0,7,0,7,0,0,0,22,1,23,29,1,30
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAWI,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Malaysia,16352,377,16729,23,3,26,0,0,0,3501,83,3584,19876,463,20339
Maldives,59,0,59,194,84,278,0,0,0,27,15,42,280,99,379
MALI,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
MALTA,0,0,0,204,77,281,0,0,0,31,15,46,235,92,327
Maroc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,163,0,163,2,0,2,0,0,0,1,0,1,166,0,166
Mexico,0,0,0,10,2,12,0,0,0,0,0,0,10,2,12
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Netherland,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
New Zealand,0,0,0,45,6,51,0,0,0,1,0,1,46,6,52
Nigeria,0,0,0,2,0,2,0,0,0,5,0,5,7,0,7
Norway,0,0,0,11,0,11,0,0,0,0,0,0,11,0,11
Oman,96,32,128,50,55,105,0,0,0,195,30,225,341,117,458
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPUA NEW GUINEA,0,0,0,20,0,20,0,0,0,2,0,2,22,0,22
PERU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,608,118,726,0,0,0,22,3,25,630,121,751
Portugal,0,0,0,25,1,26,0,0,0,0,0,0,25,1,26
Qatar,1826,174,2000,484,22,506,0,0,0,10419,141,10560,12729,337,13066
Republic of Bulgaria,0,0,0,23,18,41,0,0,0,0,0,0,23,18,41
